PARENTSITE,PARENTSITE_ID,SUBSITE,SUBSITE_ID,MML_ID,BEACH_NO,FROM_TO,NO_RPT,REGION,REGNO,RCA,E_W_144,ROOK,TREND_70,TREND_90,TREND_00,CH_93R,PUPS_50,CH_PROPOSEDR,CH_93HO,NP_BRD_200,NP_NONBRD_100,CH_PROPOSEDHO,LAT,LON,HEM,SITE_ORIG/A-B,COMPLEX_ORIG,PUP,JUV,GPSID,IS_NO,SITE_NO,SEQ_NO,REDUNDANT,SUBSTR_CODE,SUBSTR_DESCR,ORIENT,NOTES,,
ADAK,401,ADAK/CAPE YAKAK,A,404,,,1,C ALEU,10,4,W,0,1,1,1,,,,,1,1,1,51.590,-176.948,W,ADAK/CAPE YAKAK,ADAK,1,,YAKAK,549,4,271.2,2,"""4,5""",OFFSHORE R,S,,,
ADAK,401,ADAK/LAKE POINT,B,403,,,1,C ALEU,10,4,W,1,1,1,1,1,1,1,,,,,51.625,-176.992,W,ADAK/LAKE POINT,ADAK,1,,LAKEP,549,3,271.1,2,"""4,5""","""SLAB-ROCK",SW,,,
ADAK/ARGONNE POINT,402,ADAK/ARGONNE POINT,A,402,,,1,C ALEU,10,4,W,0,1,1,0,,,,,,,,51.828,-176.907,W,ADAK/ARGONNE POINT,,,,ARGON,549,2,270.2,2,5,OFFSHORE S,W,,,
ADAK/CAPE KAGIGIKAK,403,ADAK/CAPE KAGIGIKAK,A,590,,,1,C ALEU,10,4,W,0,0,0,0,,,,,,,,51.629,-176.723,W,ADAK/CAPE KAGIGIKAK,,,,,,,,,,,,,,
ADAK/CAPE MOFFET,404,ADAK/CAPE MOFFET,A,401,,,1,C ALEU,10,4,W,0,1,1,0,,,,,,,,51.972,-176.722,W,ADAK/CAPE MOFFET,,,,MOFFT,549,1,270.1,2,5,OFFSHORE S,W,,,
ADAK/CRONE ISLAND,405,ADAK/CRONE ISLAND,A,405,,,1,C ALEU,10,4,W,0,0,0,1,,,,,,,,51.676,-176.613,W,ADAK/CRONE ISLAND,,,,CRONE,549,5,272,,4,SLAB-ROCK ,W,,,
ADAK/HEAD ROCK,406,ADAK/HEAD ROCK,A,567,,,1,C ALEU,10,4,W,0,0,0,0,,,,,,,,51.925,-176.527,W,ADAK/HEAD ROCK,,,,,,,,,,,,,,
AGLIGADAK,501,AGLIGADAK,A,374,,,1,C ALEU,10,5,W,0,1,1,1,1,,,,1,1,1,52.102,-172.903,W,AGLIGADAK,,1,1,AGLIG,171,0,248,,5,OFFSHORE S,S,,,
AMATIGNAK/KNOB POINT,301,AMATIGNAK/KNOB POINT,A,426,,,1,C ALEU,10,3,W,0,0,1,1,,,,,,,,51.250,-179.067,W,AMATIGNAK/KNOB POINT,,,1,KNOBP,801,1,290,2,5,OFFSHORE S,E,,,
AMATIGNAK/NITROF POINT,302,AMATIGNAK/NITROF POINT,A,427,,,1,C ALEU,10,3,W,0,1,1,1,,,,1,,1,1,51.216,-179.128,W,AMATIGNAK/NITROF POINT,,,1,NITRO,801,2,291,2,4,SM OFFSHOR,E,,,
