,*************************************************************************************,,,,,,,,,,,,,,,
,PathTrack Archival Tracking System Results File,,,,,,,,,,,,,,,
,Created 01.08.23 12:09 PM,,,,,,,,,,,,,,,
,DO NOT MODIFY THIS HEADER,,,,,,,,,,,,,,,
,*************************************************************************************,,,,,,,,,,,,,,,
Order,Day,Month,Year,Hour,Minute,Second,Battery,SVs tracked,latitude,longitude,Height,,,,,
1,13,7,23,4,31,3,16263.4,0,0,0,0,9999.999,9999.999,4.14,0,20
2,13,7,23,4,46,3,17163.4,0,0,0,0,9999.999,9999.999,4.14,0,20
3,13,7,23,5,1,3,18063.4,0,0,0,0,9999.999,9999.999,4.14,0,20
4,13,7,23,5,16,3,18963.4,0,0,0,0,9999.999,9999.999,4.14,0,20
5,13,7,23,5,31,3,19863.4,0,0,0,0,9999.999,9999.999,4.14,0,20
6,13,7,23,5,46,3,20763.4,0,0,0,0,9999.999,9999.999,4.14,0,20
7,13,7,23,6,1,3,21663.4,0,0,0,0,9999.999,9999.999,4.12,0,20
8,13,7,23,6,16,3,22563.4,0,0,0,0,9999.999,9999.999,4.14,0,20
9,13,7,23,6,30,49,23449.49,5,48.122949,-122.912059,-12.75,9999.999,1.47E-06,4.12,0,20
10,13,7,23,6,47,48,24468.31,6,48.121094,-122.908424,-12.75,5.4,2.63E-06,4.12,0,20
11,13,7,23,7,4,47,25487.31,7,48.118649,-122.906581,-1,5.31,3.57E-06,4.14,0,20
12,13,7,23,7,21,52,26512.29,5,48.117223,-122.903641,11.25,5.255,6.28E-07,4.12,0,20
13,13,7,23,7,38,51,27531.305,6,48.116017,-122.902367,-25,5.27,9.73E-07,4.12,0,20
14,13,7,23,7,55,50,28550.3,8,48.115436,-122.90216,-5,5.31,3.73E-06,4.12,0,20
15,13,7,23,8,12,55,29575.33,5,48.113671,-122.904801,85.5,5.335,8.15E-07,4.14,0,20
16,13,7,23,8,27,51,30471.565,8,48.11502,-122.910104,15.25,5.46,4.92E-06,4.12,0,20
17,13,7,23,8,42,55,31375.59,6,48.126592,-122.922826,71.25,5.64,2.08E-06,4.12,0,20
18,13,7,23,8,57,53,32273.56,6,48.128991,-122.921388,26.75,5.665,9.30E-07,4.12,0,20
19,13,7,23,9,12,51,33171.565,8,48.129133,-122.921459,27.5,5.575,5.21E-06,4.12,0,20
20,13,7,23,9,27,52,34072.555,7,48.1274,-122.921728,13.25,5.515,2.93E-06,4.12,0,20
21,13,7,23,9,42,52,34972.575,7,48.126896,-122.923199,32.75,5.535,5.00E-06,4.12,0,20
22,13,7,23,9,57,52,35872.565,7,48.128651,-122.921645,6.25,5.58,3.92E-06,4.12,0,20
23,13,7,23,10,12,52,36772.58,9,48.125494,-122.925919,20.75,5.595,5.45E-06,4.12,0,20
24,13,7,23,10,27,53,37673.595,6,48.127429,-122.922508,16.5,5.595,3.80E-06,4.12,0,20
25,13,7,23,10,42,52,38572.605,7,48.126917,-122.923108,3.5,5.6,4.92E-06,4.12,0,20
26,13,7,23,10,57,54,39474.61,6,48.126917,-122.923174,3,5.61,6.19E-06,4.12,0,20
27,13,7,23,11,12,52,40372.61,6,48.21807,-122.939375,-89.5,5.615,2.50E-06,4.12,0,20
28,13,7,23,11,29,53,41393.365,7,48.220254,-122.948789,-50.25,5.49,3.65E-06,4.12,0,20
29,13,7,23,11,45,39,42339.92,5,48.269163,-122.968559,-47.75,5.08,5.89E-07,4.12,0,20
30,13,7,23,12,2,43,43363.42,4,48.344337,-122.974825,-50,4.965,2.28E-07,4.12,0,20
31,13,7,23,12,19,43,44383.765,4,48.409668,-122.991326,-50,5.035,7.15E-06,4.12,0,20
32,13,7,23,12,36,46,45406.315,5,48.432569,-122.981394,-145,5.075,5.60E-07,4.12,0,20
33,13,7,23,12,53,47,46427.375,4,48.415327,-122.964199,-145,5.865,2.17E-07,4.1,0,20
34,13,7,23,13,10,55,47455.495,5,48.418369,-122.962459,-28.25,9999.999,6.33E-07,4.12,0,20
35,13,7,23,13,27,44,48464.375,7,48.411934,-122.966161,-22.5,5.435,2.64E-06,4.12,0,20
36,13,7,23,13,44,47,49487.375,6,48.405902,-122.972259,-33,5.16,3.40E-06,4.12,0,20
37,13,7,23,14,1,47,50507.37,8,48.401062,-122.979462,-23.25,5.235,3.10E-06,4.12,0,20
38,13,7,23,14,18,56,51536.525,5,48.39851,-122.987089,-93.75,5.485,1.49E-07,4.1,0,20
